id,artist,websiteLink,imgLink,height,width,units,low-estimate,high-estimate,currency,info,guessed-year,guessed-signed,guessed-title,guessed-paintingType,guessed-height,guessed-width,guessed-units
b6e96b1a-e62a-4918-bbcb-d724c9661795,ציונה תג'ר,https://www.tiroche.co.il/auction/308/lot-6-%d7%a6%d7%99%d7%95%d7%a0%d7%94-%d7%aa%d7%92%d7%a8/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/85952/001/a_ignore_q_80_w_1000_c_limit_001.jpg,,,,3000,5000,$," מרכבה, טכניקה מעורבת על זכוכית, 50X80 ס""מ, חתום.",,, מרכבה טכניקה מעורבת על זכוכית," 50X80 ס""מ",,,
8da9cbaf-6f09-4a52-890d-b218d939b635,"Sionah Tagger 
",https://www.tiroche.co.il/auction/154-en/lot-572-sionah-tagger/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/54825/002/a_ignore_q_80_w_1000_c_limit_002.jpg,,,,400,600,$,"Landscape,
 Watercolor on paper, 55X45 cm.
 Signed and dedicated.",,", Signed and dedicated",Landscape, Watercolor on paper,55,45,cm
91e644f4-e5c3-42a9-b622-b85030829ee0,Sionah Tagger,https://www.tiroche.co.il/auction/170-en/lot-491-53/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/72850/1/a_ignore_q_80_w_1000_c_limit_1.jpg,,,,300,500,$,,,,,,,,
b51a22bb-1992-421e-92f2-225c57eda62e,Sionah Tagger,https://www.tiroche.co.il/auction/92-en/lot-17-112/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/81477/001/a_ignore_q_80_w_1000_c_limit_001.jpg,,,,400,600,$,"Flowers, watercolor on paper, 48X36 cm, Signed.",,,Flowers watercolor on paper, 48X36 cm,,,
a0ff42a3-09f8-4f03-9057-2879a163aea6,Sionah Tagger,https://www.tiroche.co.il/auction/178-en/lot-418-100/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/81051/002/a_ignore_q_80_w_1000_c_limit_002.jpg,,,,300,500,$,"Boat on Kineret, Panda on paper, 40X30 cm. Signed.",, Signed,Boat on Kineret, Panda on paper,40,30,cm
fae94ec6-6bcd-4e46-af4a-c5e68c444597,"Sionah Tagger
",https://www.tiroche.co.il/auction/182-en/lot-322-sionah-tagger/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/85539/002/a_ignore_q_80_w_1000_c_limit_002.jpg,,,,3000,5000,$,"Abraham Resting on the Way, 1984,
Oil on canvas, 46X38 cm,
Signed. Titled on the reverse.",1984, Titled on the reverse,Abraham Resting on the Way 1984Oil on canvas, 46X38 cm,,,
4fd19ba5-a1ca-4c29-bb00-c534eb45ed25,"Sionah Tagger 
",https://www.tiroche.co.il/auction/156-en/lot-574-sionah-tagger-2/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/58028/002/a_ignore_q_80_w_1000_c_limit_002.jpg,,,,200,300,$,"Boats in the harbor,
 Pastel on paper, 34X48 cm,
 Signed.",,,Boats in the harbor Pastel on paper, 34X48 cm,,,
f622b963-c598-426e-a75b-0c4968059ea0,"Sionah Tagger
",https://www.tiroche.co.il/auction/182-en/lot-303-sionah-tagger/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/85520/002/a_ignore_q_80_w_1000_c_limit_002.jpg,,,,1500,2000,$,"Galilean Landscape,
1967, Oil on canvas, 65X50 cm.
Signed and dated.",1967,",Signed and dated",Galilean Landscape1967, Oil on canvas,65,50,cm
694c0857-0feb-4ee6-8929-697b67c7d35c,Sionah Tagger,https://www.tiroche.co.il/auction/250-israeli-international-art-en/lot-71-sionah-tagger/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/88042/001/a_ignore_q_80_w_1000_c_limit_001.jpg,,,,3000,5000,$,"Portrait of Leah Levin, 1932,
Oil on canvas, 46X38 cm.
Signed (faded). Signed with the estate stamp on the reverse.",1932, Signed with the estate stamp on the reverse,Portrait of Leah Levin 1932Oil on canvas, 46X38 cm.,,,
d12565de-7123-4cd0-a119-88962c1703e9,Sionah Tagger,https://www.tiroche.co.il/auction/274-israeli-international-art-en/lot-224-sionah-tagger/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/94010/001/a_ignore_q_80_w_1000_c_limit_001.jpg,,,,3000,5000,$,"Portrait,
Oil on canvas, 61×46 cm.
Signed.",,",Signed",Portrait,Oil on canvas,61,46,cm
